R	53.2469	-6.66386	A501	12 Feb 2025	A501\n06:30 - Carlow to Dublin Heuston (1 mins late)\nDeparted Sallins next stop Hazelhatch	To Dublin Heuston
R	53.2469	-6.66386	A725	12 Feb 2025	A725\n17:20 - Galway to Dublin Heuston (14 mins late)\nDeparted Sallins next stop Dublin Heuston	To Dublin Heuston
R	53.2557	-6.11317	E804	12 Feb 2025	E804\n06:54 - Greystones to Malahide (7 mins late)\nDeparted Killiney next stop Dalkey	Northbound
R	53.2812	-6.12289	E102	12 Feb 2025	E102\n06:20 - Malahide to Greystones (0 mins late)\nArrived Glenageary next stop Dalkey	Southbound
R	53.2951	-6.13498	A603	12 Feb 2025	A603\n05:50 - Gorey to Dublin Connolly (0 mins late)\nArrived Dun Laoghaire next stop Blackrock	Northbound
R	53.2991	-6.16512	E904	12 Feb 2025	E904\n06:55 - Bray to Howth (1 mins late)\nDeparted Seapoint next stop Blackrock	Northbound
R	53.3027	-6.17833	E203	12 Feb 2025	E203\n06:59 - Dublin Connolly to Bray (3 mins late)\nArrived Blackrock next stop Seapoint	Southbound
R	53.3206	-6.21112	E204	12 Feb 2025	E204\n06:40 - Howth to Bray (0 mins late)\nArrived Sydney Parade next stop Booterstown	Southbound
R	53.3334	-6.40628	A225	12 Feb 2025	A225\n17:25 - Cork to Dublin Heuston (14 mins late)\nDeparted Clondalkin next stop Dublin Heuston	To Dublin Heuston
R	53.3334	-6.40628	A227	12 Feb 2025	A227\n18:25 - Cork to Dublin Heuston (-4 mins late)\nDeparted Clondalkin next stop Dublin Heuston	To Dublin Heuston
R	53.3334	-6.40628	A229	12 Feb 2025	A229\n19:25 - Cork to Dublin Heuston (4 mins late)\nDeparted Clondalkin next stop Dublin Heuston	To Dublin Heuston
R	53.3334	-6.40628	A231	12 Feb 2025	A231\n20:25 - Cork to Dublin Heuston (6 mins late)\nDeparted Clondalkin next stop Dublin Heuston	To Dublin Heuston
R	53.334	-6.37868	P201	12 Feb 2025	P201\n06:30 - Kildare to Dublin Heuston (2 mins late)\nDeparted Park West and Cherry Orchard next stop Dublin Heuston	To Dublin Heuston
R	53.334	-6.37868	P202	12 Feb 2025	P202\n06:20 - Portlaoise to Dublin Heuston (0 mins late)\nDeparted Park West and Cherry Orchard next stop Dublin Heuston	To Dublin Heuston
R	53.3353	-6.45233	P402	12 Feb 2025	P402\n06:58 - Newbridge to Grand Canal Dock (1 mins late)\nArrived Adamstown next stop Kishoge	Northbound
R	53.3363	-8.24081	A705	12 Feb 2025	A705\n06:25 - Galway to Dublin Heuston (2 mins late)\nDeparted Ballinasloe next stop Athlone	To Dublin Heuston
R	53.3395	-7.61596	A801	12 Feb 2025	A801\n05:15 - Westport to Dublin Heuston (3 mins late)\nArrived Clara next stop Tullamore	To Dublin Heuston
R	53.3433	-6.24829	E103	12 Feb 2025	E103\n06:50 - Malahide to Greystones (0 mins late)\nArrived Dublin Pearse next stop Grand Canal Dock	Southbound
R	53.347	-6.25425	E903	12 Feb 2025	E903\n06:24 - Greystones to Howth (0 mins late)\nDeparted Tara Street next stop Dublin Connolly	Northbound
R	53.3531	-6.24591	D801	12 Feb 2025	D801\n07:05 - Grand Canal Dock to Drogheda (-13 mins late)\nArrived Dublin Connolly next stop Malahide	To Drogheda
R	53.3629	-6.22753	E205	12 Feb 2025	E205\n07:00 - Howth to Bray (0 mins late)\nArrived Clontarf Road next stop Dublin Connolly	Southbound
R	53.3632	-6.25908	P401	12 Feb 2025	P401\n06:49 - Hazelhatch to Grand Canal Dock (2 mins late)\nDeparted Drumcondra next stop Dublin Connolly	Northbound
R	53.3704	-6.50598	D902	12 Feb 2025	D902\n06:38 - Dublin Connolly to Maynooth (4 mins late)\nDeparted Leixlip (Louisa Bridge) next stop Maynooth	Northbound
R	53.3725	-6.29869	P301	12 Feb 2025	P301\n06:50 - M3 Parkway to Docklands (0 mins late)\nDeparted Broombridge next stop Docklands	Southbound
R	53.3743	-6.48624	A900	12 Feb 2025	A900\n06:55 - Dublin Connolly to Sligo (1 mins late)\nArrived Leixlip (Confey) next stop Maynooth	Northbound
R	53.3743	-6.48624	P743	12 Feb 2025	P743\n07:12 - Maynooth to Dublin Connolly (-1 mins late)\nArrived Leixlip (Confey) next stop Clonsilla	Southbound
R	53.3752	-6.31388	D903	12 Feb 2025	D903\n07:05 - Dublin Connolly to Maynooth (2 mins late)\nArrived Pelletstown next stop Ashtown	Northbound
R	53.3755	-6.33135	P651	12 Feb 2025	P651\n05:38 - Longford to Dublin Pearse (0 mins late)\nArrived Ashtown next stop Pelletstown	Southbound
R	53.3786	-6.19131	E802	12 Feb 2025	E802\n06:15 - Bray to Malahide (8 mins late)\nArrived Harmonstown next stop Raheny	Northbound
R	53.3815	-6.17699	P601	12 Feb 2025	P601\n06:25 - Drogheda to Dublin Pearse (1 mins late)\nArrived Raheny next stop Dublin Connolly	Southbound
R	53.3831	-6.4242	P302	12 Feb 2025	P302\n07:07 - M3 Parkway to Docklands (1 mins late)\nDeparted Clonsilla next stop Coolmine	Southbound
R	53.3891	-6.07401	E104	12 Feb 2025	E104\n07:20 - Howth to Greystones (0 mins late)\nDeparted Howth next stop Sutton	Southbound
R	53.4032	-6.14839	E206	12 Feb 2025	E206\n07:12 - Malahide to Bray (2 mins late)\nDeparted Clongriffin next stop Howth Junction	Southbound
R	53.4157	-6.83395	P652	12 Feb 2025	P652\n06:12 - Longford to Dublin Pearse (1 mins late)\nDeparted Enfield next stop Kilcock	Southbound
R	53.4273	-7.93683	A700	12 Feb 2025	A700\n05:45 - Dublin Heuston to Galway (1 mins late)\nArrived Athlone next stop Ballinasloe	To Galway
R	53.5201	-6.1439	P602	12 Feb 2025	P602\n06:45 - Drogheda to Dublin Pearse (4 mins late)\nDeparted Rush and Lusk next stop Donabate	Southbound
R	53.5741	-6.11933	P603	12 Feb 2025	P603\n06:30 - Dundalk to Bray (1 mins late)\nDeparted Skerries next stop Rush and Lusk	Southbound
R	53.638	-6.21705	P604	12 Feb 2025	P604\n07:05 - Drogheda to Bray (3 mins late)\nDeparted Gormanston next stop Balbriggan	Southbound
R	53.6794	-6.24253	A102	12 Feb 2025	A102\n06:50 - Dublin Connolly to Belfast (2 mins late)\nDeparted Laytown next stop Drogheda	Northbound
R	53.6888	-7.60299	A901	12 Feb 2025	A901\n05:40 - Sligo to Dublin Connolly (3 mins late)\nDeparted Edgeworthstown next stop Mullingar	Southbound
R	53.712	-6.33538	P700	12 Feb 2025	P700\n06:58 - Dundalk to Dublin Connolly (0 mins late)\nDeparted Drogheda next stop Laytown	Southbound
R	53.9676	-8.30438	A903	12 Feb 2025	A903\n06:40 - Sligo to Dublin Connolly (6 mins late)\nArrived Boyle next stop Carrick on Shannon	Southbound
R	54.0007	-6.41291	A100	12 Feb 2025	A100\n05:50 - Dublin Connolly to Belfast (1 mins late)\nDeparted Dundalk next stop Newry	Northbound
R	54.0007	-6.41291	A101	12 Feb 2025	A101\n06:00 - Belfast to Dublin Connolly (0 mins late)\nDeparted Dundalk next stop Drogheda	Southbound
T	53.1855	-6.80807	D201	12 Feb 2025	D201\n06:32 - Dublin Heuston to Newbridge(1 mins late)\nTERMINATED Newbridge at 07:15	To Newbridge
T	53.2043	-6.10046	E201	12 Feb 2025	E201\n06:00 - Howth to Bray(0 mins late)\nTERMINATED Bray at 07:17	Southbound
T	53.3397	-6.23773	P400	12 Feb 2025	P400\n06:10 - Newbridge to Grand Canal Dock(0 mins late)\nTERMINATED Grand Canal Dock at 07:19	Northbound
T	53.3531	-6.24591	P742	12 Feb 2025	P742\n06:32 - Maynooth to Dublin Connolly(0 mins late)\nTERMINATED Dublin Connolly at 07:17	Southbound
T	53.4509	-6.15649	E801	12 Feb 2025	E801\n06:52 - Dublin Connolly to Malahide(2 mins late)\nTERMINATED Malahide at 07:19	Northbound
